Sección,Categoría,Ganador,Nombre de archivo de la foto
Premio del Jurado,Mejor restaurante,Kjolle,img/restaurantes/mejor-restaurante.jpg
Premio del Jurado,Mejor nuevo restaurante,Los Primos de San Juan,img/restaurantes/mejor-nuevo-restaurante.jpg
Premio del Jurado,Cocinero del año,Juan Luis Martínez,img/restaurantes/cocinero-del-ano.jpg
Premio del Jurado,Cocinera del año,Pía León,img/restaurantes/cocinera-del-ano.jpg
Premio del Jurado,Mejor Servicio de Sala,Central,img/restaurantes/mejor-servicio-de-sala.jpg
Premio del Jurado,Premio a la trayectoria,María Zuñiga de Casa Zuñiga,img/restaurantes/premio-a-la-trayectoria.jpg
Voto del Público,Mejor Panadería,El Pan de la Chola,img/restaurantes/mejor-panaderia.jpg
Voto del Público,Mejor Pastelería,María Almenara,img/restaurantes/mejor-pasteleria.jpg
Voto del Público,Mejor Cafetería,San Antonio,img/restaurantes/mejor-cafeteria.jpg
Voto del Público,Mejor Cafetería de especialidad,D'Sala Café,img/restaurantes/mejor-cafeteria-de-especialidad.jpg
Voto del Público,Mejores Pizzas,La Linterna,img/restaurantes/mejores-pizzas.jpg
Voto del Público,Mejores Hamburguesas,Boycott,img/restaurantes/mejores-hamburguesas.jpg
Voto del Público,Mejores Sánguches,El Chinito,img/restaurantes/mejores-sanguches.jpg
Voto del Público,Mejor espacio de Comida saludable,La Nevera Fit,img/restaurantes/mejor-espacio-de-comida-saludable.jpg
Voto del Público,Mejor Restaurante de hotel,Maras (Westin),img/restaurantes/mejor-restaurante-de-hotel.jpg
Voto del Público,Mejor Restaurante campestre,La Granja Azul,img/restaurantes/mejor-restaurante-campestre.jpg
Voto del Público,Mejor heladería,Cafeladería 4D,img/restaurantes/mejor-heladeria.jpg
Voto del Público,Mejor Restaurante peruano en el extranjero,CVICHE 105,img/restaurantes/mejor-restaurante-peruano-en-el-extranjero.jpg
Voto del Público,Mejor Restaurante de Comida regional en Lima,Alegría Picantería Piurana,img/restaurantes/mejor-restaurante-de-comida-regional-en-lima.jpg
Voto del Público,Mejor Restaurante de Región amazónica,El Batán del Tayta,img/restaurantes/mejor-restaurante-de-region-amazonica.jpg
Voto del Público,Mejor Restaurante en Ica,Lagunilla,img/restaurantes/mejor-restaurante-en-ica.jpg
Voto del Público,Mejor Restaurante en Lambayeque,Don Humberto,img/restaurantes/mejor-restaurante-en-lambayeque.jpg
Voto del Público,Mejor Restaurante en Arequipa,La Nueva Palomino,img/restaurantes/mejor-restaurante-en-arequipa.jpg
Voto del Público,Mejor Restaurante en Cusco,Chicha,img/restaurantes/mejor-restaurante-en-cusco.jpg
Voto del Público,Mejor Escuela de cocina,Le Cordon Bleu,img/restaurantes/mejor-escuela-de-cocina.jpg
Voto del Público,Mejor bar,María Mezcal,img/restaurantes/mejor-bar.jpg
Voto del Público,Mejor Restaurante de comida marina,La Mar,img/restaurantes/mejor-restaurante-de-comida-marina.jpg
Voto del Público,Mejor Restaurante de comida italiana,Pasta,img/restaurantes/mejor-restaurante-de-comida-italiana.jpg
Voto del Público,Mejor Taberna,Antigua Taberna Queirolo,img/restaurantes/mejor-taberna.jpg
Voto del Público,Mejor Restaurante nikkei,Osaka,img/restaurantes/mejor-restaurante-nikkei.jpg
Voto del Público,Mejor Restaurante de Cocina contemporánea,Cosme,img/restaurantes/mejor-restaurante-de-cocina-contemporanea.jpg
Voto del Público,Mejor Restaurante de cocinas del mundo,52MX,img/restaurantes/mejor-restaurante-de-cocinas-del-mundo.jpg
Voto del Público,Mejor Restaurante de Comida criolla,Panchita,img/restaurantes/mejor-restaurante-de-comida-criolla.jpg
Voto del Público,Mejor pollería,Tinajas Chicken & Grill,img/restaurantes/mejor-polleria.jpg
Voto del Público,Mejor chifa,Titi,img/restaurantes/mejor-chifa.jpg
Voto del Público,Mejor restaurante de carnes,El Hornero,img/restaurantes/mejor-restaurante-de-carnes.jpg
Voto del Público,Mejor rooftop,Amador,img/restaurantes/mejor-rooftop.jpg
Voto del Público,Mejor huarique,Canta Rana,img/restaurantes/mejor-huarique.jpg
Voto del Público,Mejor restaurante coreano,Casa Corea,img/restaurantes/mejor-restaurante-coreano.jpg
Voto del Público,Mejor creador de contenido gastronómico: recomendaciones,Luis López,img/restaurantes/mejor-creador-de-contenido-gastronomico-recomendaciones.jpg
Voto del Público,Mejor creador de contenido gastronómico: recetas,Rodrigo Fernandini,img/restaurantes/mejor-creador-de-contenido-gastronomico-recetas.jpg
Voto del Público,Mejor programa de gastronomía,Viaja y Prueba de Luciano Mazzetti,img/restaurantes/mejor-programa-de-gastronomia.jpg
Voto del Público,Restaurante club El Comercio,Embarcadero 41,img/restaurantes/restaurante-club-el-comercio.jpg
